;hash-rate
27/03/2010 00:00;4.24113E-05
30/03/2010 01:00;4.27935E-05
02/04/2010 01:00;4.61957E-05
05/04/2010 01:00;4.86872E-05
08/04/2010 01:00;5.06921E-05
11/04/2010 01:00;5.54027E-05
14/04/2010 01:00;6.63305E-05
17/04/2010 01:00;7.56771E-05
20/04/2010 01:00;8.13544E-05
23/04/2010 01:00;8.77125E-05
26/04/2010 01:00;8.8056E-05
29/04/2010 01:00;9.42768E-05
02/05/2010 01:00;9.43582E-05
05/05/2010 01:00;9.16474E-05
08/05/2010 01:00;9.10532E-05
11/05/2010 01:00;8.98793E-05
14/05/2010 01:00;8.43132E-05
17/05/2010 01:00;7.52796E-05
20/05/2010 01:00;8.44957E-05
23/05/2010 01:00;9.91217E-05
26/05/2010 01:00;0.00011405
29/05/2010 01:00;0.000120973
01/06/2010 01:00;0.00012976
04/06/2010 01:00;0.000127356
07/06/2010 01:00;0.000117784
10/06/2010 01:00;0.000124629
13/06/2010 01:00;0.000130446
16/06/2010 01:00;0.000138394
19/06/2010 01:00;0.000133803
22/06/2010 01:00;0.00013911
25/06/2010 01:00;0.000144811
28/06/2010 01:00;0.000151005
01/07/2010 01:00;0.000160402
04/07/2010 01:00;0.000172253
07/07/2010 01:00;0.000183617
10/07/2010 01:00;0.000189097
13/07/2010 01:00;0.000259352
16/07/2010 01:00;0.000805162
19/07/2010 01:00;0.001949189
22/07/2010 01:00;0.002140111
25/07/2010 01:00;0.001661809
28/07/2010 01:00;0.001904713
31/07/2010 01:00;0.002053183
03/08/2010 01:00;0.002355142
06/08/2010 01:00;0.002681185
09/08/2010 01:00;0.002892422
12/08/2010 01:00;0.003194117
15/08/2010 01:00;0.003753793
18/08/2010 01:00;0.004180413
21/08/2010 01:00;0.004148963
24/08/2010 01:00;0.004255816
27/08/2010 01:00;0.00511352
30/08/2010 01:00;0.005394517
02/09/2010 01:00;0.00524931
05/09/2010 01:00;0.005082152
08/09/2010 01:00;0.005082152
11/09/2010 01:00;0.00532586
14/09/2010 01:00;0.005644937
17/09/2010 01:00;0.006343348
20/09/2010 01:00;0.007393177
23/09/2010 01:00;0.008280541
26/09/2010 01:00;0.009327179
29/09/2010 01:00;0.00967263
02/10/2010 01:00;0.009998576
05/10/2010 01:00;0.00944261
08/10/2010 01:00;0.009252118
11/10/2010 01:00;0.01013238
14/10/2010 01:00;0.010879756
17/10/2010 01:00;0.012403624
20/10/2010 01:00;0.01537384
23/10/2010 01:00;0.018211427
26/10/2010 01:00;0.019303431
29/10/2010 01:00;0.021289385
01/11/2010 00:00;0.024659643
04/11/2010 00:00;0.02675562
07/11/2010 00:00;0.029662377
10/11/2010 00:00;0.036757201
13/11/2010 00:00;0.042542167
16/11/2010 00:00;0.048773157
19/11/2010 00:00;0.049707385
22/11/2010 00:00;0.049762774
25/11/2010 00:00;0.052604858
28/11/2010 00:00;0.056664994
01/12/2010 00:00;0.065737403
04/12/2010 00:00;0.071644549
07/12/2010 00:00;0.084272178
10/12/2010 00:00;0.091959362
13/12/2010 00:00;0.097883712
16/12/2010 00:00;0.100478861
19/12/2010 00:00;0.1031035
22/12/2010 00:00;0.107540866
25/12/2010 00:00;0.107120327
28/12/2010 00:00;0.11187337
31/12/2010 00:00;0.115304717
03/01/2011 00:00;0.121784822
06/01/2011 00:00;0.122957519
09/01/2011 00:00;0.127256994
12/01/2011 00:00;0.129008567
15/01/2011 00:00;0.138852129
18/01/2011 00:00;0.14749893
21/01/2011 00:00;0.153572428
24/01/2011 00:00;0.155288109
27/01/2011 00:00;0.158561467
30/01/2011 00:00;0.165724417
02/02/2011 00:00;0.176537508
05/02/2011 00:00;0.178830311
08/02/2011 00:00;0.194462331
11/02/2011 00:00;0.218300392
14/02/2011 00:00;0.240641429
17/02/2011 00:00;0.259026193
20/02/2011 00:00;0.2995967
23/02/2011 00:00;0.340179951
26/02/2011 00:00;0.373101828
01/03/2011 00:00;0.468593145
04/03/2011 00:00;0.485654302
07/03/2011 00:00;0.545962946
10/03/2011 00:00;0.616452336
13/03/2011 00:00;0.572600038
16/03/2011 00:00;0.477232012
19/03/2011 00:00;0.47885525
22/03/2011 00:00;0.48751252
25/03/2011 00:00;0.515648648
28/03/2011 01:00;0.546035958
31/03/2011 01:00;0.545608865
03/04/2011 01:00;0.583893413
06/04/2011 01:00;0.622591047
09/04/2011 01:00;0.6287466
12/04/2011 01:00;0.647467219
15/04/2011 01:00;0.683017062
18/04/2011 01:00;0.681262737
21/04/2011 01:00;0.665219539
24/04/2011 01:00;0.726447335
27/04/2011 01:00;0.781061823
30/04/2011 01:00;0.826312256
03/05/2011 01:00;0.923277446
06/05/2011 01:00;1.051478516
09/05/2011 01:00;1.108259213
12/05/2011 01:00;1.290101968
15/05/2011 01:00;1.47224997
18/05/2011 01:00;1.690245744
21/05/2011 01:00;2.091624538
24/05/2011 01:00;2.598869618
27/05/2011 01:00;3.246951883
30/05/2011 01:00;3.67349154
02/06/2011 01:00;3.661153944
05/06/2011 01:00;3.900478729
08/06/2011 01:00;4.760742534
11/06/2011 01:00;5.499008107
14/06/2011 01:00;6.062811079
17/06/2011 01:00;7.705129377
20/06/2011 01:00;8.64415678
23/06/2011 01:00;9.559463434
26/06/2011 01:00;11.2404864
29/06/2011 01:00;11.57694699
02/07/2011 01:00;11.33199196
05/07/2011 01:00;11.65520349
08/07/2011 01:00;11.1667403
11/07/2011 01:00;11.1064882
14/07/2011 01:00;11.77687918
17/07/2011 01:00;12.14317231
20/07/2011 01:00;12.68706211
23/07/2011 01:00;12.4548236
26/07/2011 01:00;12.85557165
29/07/2011 01:00;13.6529151
01/08/2011 01:00;13.8570484
04/08/2011 01:00;14.23280924
07/08/2011 01:00;13.76724248
10/08/2011 01:00;12.67543301
13/08/2011 01:00;12.78273827
16/08/2011 01:00;12.94369615
19/08/2011 01:00;12.61339921
22/08/2011 01:00;12.85892259
25/08/2011 01:00;13.59251257
28/08/2011 01:00;13.27193444
