Date;hash-rate
3/20/2010 0:00;4.34716E-05
3/23/2010 0:00;4.65218E-05
3/26/2010 0:00;4.42524E-05
3/29/2010 1:00;4.35716E-05
4/1/2010 1:00;5.71745E-05
4/4/2010 1:00;5.02168E-05
4/7/2010 1:00;5.83846E-05
4/10/2010 1:00;7.26026E-05
4/13/2010 1:00;6.41395E-05
4/16/2010 1:00;7.85223E-05
4/19/2010 1:00;8.43532E-05
4/22/2010 1:00;0.000100871
4/25/2010 1:00;9.63121E-05
4/28/2010 1:00;9.97315E-05
5/1/2010 1:00;9.28928E-05
5/4/2010 1:00;8.30357E-05
5/7/2010 1:00;8.36745E-05
5/10/2010 1:00;8.75069E-05
5/13/2010 1:00;8.30357E-05
5/16/2010 1:00;6.13187E-05
5/19/2010 1:00;0.000103475
5/22/2010 1:00;0.000113065
5/25/2010 1:00;0.000126609
5/28/2010 1:00;0.000128965
5/31/2010 1:00;0.000125573
6/3/2010 1:00;0.000129704
6/6/2010 1:00;0.000124747
6/9/2010 1:00;0.000133834
6/12/2010 1:00;0.000118373
6/15/2010 1:00;0.000169352
6/18/2010 1:00;0.000127878
6/21/2010 1:00;0.000139974
6/24/2010 1:00;0.00017556
6/27/2010 1:00;0.000153374
6/30/2010 1:00;0.00017749
7/3/2010 1:00;0.000192924
7/6/2010 1:00;0.000196267
7/9/2010 1:00;0.0002208
7/12/2010 1:00;0.000599314
7/15/2010 1:00;0.001407832
7/18/2010 1:00;0.001615397
7/21/2010 1:00;0.001822962
7/24/2010 1:00;0.001669545
7/27/2010 1:00;0.002124483
7/30/2010 1:00;0.002209463
8/2/2010 1:00;0.003083536
8/5/2010 1:00;0.002962137
8/8/2010 1:00;0.003361158
8/11/2010 1:00;0.003798808
8/14/2010 1:00;0.004569073
8/17/2010 1:00;0.003332692
8/20/2010 1:00;0.004248547
8/23/2010 1:00;0.005520567
8/26/2010 1:00;0.005291603
8/29/2010 1:00;0.00489622
9/1/2010 1:00;0.005454017
9/4/2010 1:00;0.005546983
9/7/2010 1:00;0.004679299
9/10/2010 1:00;0.006059847
9/13/2010 1:00;0.005811783
9/16/2010 1:00;0.006733163
9/19/2010 1:00;0.009581379
9/22/2010 1:00;0.007893231
9/25/2010 1:00;0.009216374
9/28/2010 1:00;0.009855133
10/1/2010 1:00;0.010226025
10/4/2010 1:00;0.010094922
10/7/2010 1:00;0.0113404
10/10/2010 1:00;0.011274848
10/13/2010 1:00;0.011576864
10/16/2010 1:00;0.016372014
10/19/2010 1:00;0.016646023
10/22/2010 1:00;0.016344753
10/25/2010 1:00;0.022433975
10/28/2010 1:00;0.022968118
10/31/2010 1:00;0.027971776
11/3/2010 0:00;0.030891906
11/6/2010 0:00;0.031045597
11/9/2010 0:00;0.054120808
11/12/2010 0:00;0.038561076
11/15/2010 0:00;0.049836244
11/18/2010 0:00;0.059307385
11/21/2010 0:00;0.046082977
11/24/2010 0:00;0.063150746
11/27/2010 0:00;0.062468035
11/30/2010 0:00;0.084329546
12/3/2010 0:00;0.077101299
12/6/2010 0:00;0.096376623
12/9/2010 0:00;0.100392316
12/12/2010 0:00;0.105974737
12/15/2010 0:00;0.109019988
12/18/2010 0:00;0.096229933
12/21/2010 0:00;0.119982892
12/24/2010 0:00;0.108001742
12/27/2010 0:00;0.11592187
12/30/2010 0:00;0.115201859
1/2/2011 0:00;0.129602091
1/5/2011 0:00;0.121596944
1/8/2011 0:00;0.155644088
1/11/2011 0:00;0.131324699
1/14/2011 0:00;0.141052455
1/17/2011 0:00;0.158561467
1/20/2011 0:00;0.153978766
1/23/2011 0:00;0.155811847
1/26/2011 0:00;0.178725353
1/29/2011 0:00;0.164136212
2/1/2011 0:00;0.195869213
2/4/2011 0:00;0.207905868
2/7/2011 0:00;0.225413731
2/10/2011 0:00;0.244256346
2/13/2011 0:00;0.263641771
2/16/2011 0:00;0.298535534
2/19/2011 0:00;0.318987823
2/22/2011 0:00;0.384235332
2/25/2011 0:00;0.40235964
2/28/2011 0:00;0.461482779
3/3/2011 0:00;0.505696698
3/6/2011 0:00;0.746109882
3/9/2011 0:00;0.598433793
3/12/2011 0:00;0.518895124
3/15/2011 0:00;0.367392898
3/18/2011 0:00;0.52268268
3/21/2011 0:00;0.587071126
3/24/2011 0:00;0.575708459
3/27/2011 0:00;0.524622354
3/30/2011 1:00;0.534909066
4/2/2011 1:00;0.648062907
4/5/2011 1:00;0.692638663
4/8/2011 1:00;0.638574171
4/11/2011 1:00;0.630387322
4/14/2011 1:00;0.66722814
4/17/2011 1:00;0.728629503
4/20/2011 1:00;0.661049805
4/23/2011 1:00;0.78040602
4/26/2011 1:00;0.885990364
4/29/2011 1:00;0.927305976
5/2/2011 1:00;0.970408278
5/5/2011 1:00;1.242994872
5/8/2011 1:00;1.123056771
5/11/2011 1:00;1.463314603
5/14/2011 1:00;1.940652521
5/17/2011 1:00;2.034555063
5/20/2011 1:00;2.71821706
5/23/2011 1:00;3.361366632
5/26/2011 1:00;3.858897433
5/29/2011 1:00;3.739888948
6/1/2011 1:00;3.847978224
6/4/2011 1:00;4.669456721
6/7/2011 1:00;4.765651499
6/10/2011 1:00;6.373001413
6/13/2011 1:00;6.908784718
6/16/2011 1:00;8.762322509
6/19/2011 1:00;9.547008107
6/22/2011 1:00;11.77028397
6/25/2011 1:00;10.3525631
6/28/2011 1:00;10.48968314
7/1/2011 1:00;12.34080369
7/4/2011 1:00;11.24384337
7/7/2011 1:00;10.56700187
7/10/2011 1:00;11.18859021
7/13/2011 1:00;14.21883339
7/16/2011 1:00;12.35406836
7/19/2011 1:00;12.74256107
7/22/2011 1:00;12.01984874
7/25/2011 1:00;13.19661715
7/28/2011 1:00;14.03716601
7/31/2011 1:00;14.1212209
8/3/2011 1:00;14.92884333
8/6/2011 1:00;11.64261995
8/9/2011 1:00;12.48764882
8/12/2011 1:00;12.86321721
8/15/2011 1:00;13.42656978
8/18/2011 1:00;14.18237632
8/21/2011 1:00;13.01547194
8/24/2011 1:00;11.75880568
8/27/2011 1:00;11.75880568
8/30/2011 1:00;13.91309069
9/2/2011 1:00;14.31653111
9/5/2011 1:00;13.60954192
9/8/2011 1:00;11.04670611
9/11/2011 1:00;12.19556354
9/14/2011 1:00;13.26392523
9/17/2011 1:00;10.73330792
9/20/2011 1:00;12.12951057
9/23/2011 1:00;11.69319724
9/26/2011 1:00;11.95498524
9/29/2011 1:00;11.25295401
10/2/2011 1:00;11.00102221
10/5/2011 1:00;11.50488582
10/8/2011 1:00;10.83306767
10/11/2011 1:00;8.901590487
10/14/2011 1:00;11.16897674
10/17/2011 1:00;8.247236133
10/20/2011 1:00;7.517392227
10/23/2011 1:00;7.663361008
10/26/2011 1:00;7.955298571
10/29/2011 1:00;8.685142476
11/1/2011 0:00;8.73436486
11/4/2011 0:00;8.554891609
11/7/2011 0:00;7.836998607
11/10/2011 0:00;8.674540443
11/13/2011 0:00;8.794189277
11/16/2011 0:00;7.884158164
11/19/2011 0:00;7.647040625
11/22/2011 0:00;8.002716933
11/25/2011 0:00;7.70632001
11/28/2011 0:00;7.350643702
12/1/2011 0:00;10.03065755
12/4/2011 0:00;7.428108565
12/7/2011 0:00;7.97030627
12/10/2011 0:00;8.512503976
12/13/2011 0:00;7.406827445
12/16/2011 0:00;7.11974111
